id,rating,title,review,nickname,appVersion,lastModified,helpfulViews,totalViews
5453472077,1,这更新了个寂寞，还我旧版本,难用的亚批，原来输中文简体字就能跳出来对应的日文，现在根本不行，必须输日文才查的到，我要是知道发音还来查个毛线。赶紧恢复正常吧,还看路途句ti,6.0.1,1580098923000,0,0
5433768441,1,新版本啥玩意啊……,新版本真的太多乱七八糟的功能了……数据移植这块也没有完全做好，我搜索记录全没了，背词任务进度也完全被打乱，更重要的是以前最大的优点启动快不杀后台现在完完全全反过来了...不要更，真的不要更,Grimme05,6.0.0,1579676909000,0,0
11400534110,1,背单词没发音也没文字，什么都没有,以前一直用这个背日语、可以设置自己想要的模式。最近这三次更新反而越来越烂了，发音和中文突然消失，屏幕除了选项外漆黑一片。更新了三个版本也一直没修好。早知道今年就不更新了,苏挽时,8.2.7,1718835194000,1,1
5594823206,1,新版本,新版本真的好差！以前很方便，很简洁，现在都是什么乱七八糟的功能，本来就是一款简单的查词工具，现在查词费好长时间，有的还查不到，以前支持中日双语自由查询，现在不知道是什么情况，查不出来，好怀念以前的版本，为什么要更新啊！,小雨的小鱼是咸鱼,6.0.7,1582947922000,1,1
5437224857,1,更新之后启动时间明显变长,11打开起码慢了三四秒 而且界面越来越靠近沪江的那个小D了 太花里胡哨脱离词典本心了。现在班里大片同学都在吐槽这个不准备继续使用了。,ゴハロ,6.0.0,1579751585000,1,1
2605864685,1,单词发音时有时无,这是我第一次写软件评论，身边有人推荐了这软件本来抱着很大的希望，结果十次查词五六次都在转圈放不出声音 每次我都要退出再用沪江小D查 真麻烦 果断卸载,hi miss,3.0.2,1527480100000,0,0
1644703698,1,购买专业版之后下载界面加载不出来,为什么加载不出来啊？我现在正好在最需要学习日语的时候，这个专业版买了有什么用啊？,東京タワーの下の子,1.6.1,1497497812000,0,0
5429739885,1,太后悔升级最新办了，本地收藏夹全没了,用这个软件主要就想分门别类的收藏一下单词，没想到升级完最新版本地收藏夹全没了，界面也没有上一版简洁，没升级的谨慎吧。,哈哈尤其楼也嗯,6.0.0,1579583864000,0,0
9189655136,1,吃相太难看,刚开始功能多，又是手写，又是听力，还有频道，开个会员。用一段时间然后把这些功能全砍掉，查词里面有些词必须开其他会员才能用，一想没多少钱就开了，然后再用一段时间故意给报个查词前方有遮罩的bug，必须卸载重装，装完之前的手写开始收费了，玩呢？一步一步的把所有功能都变成收费，咋不查一个词收一次费呢？这么难看的吃相。,m7in,6.23.0,1665904229000,0,0
5433876153,1,更新之后反而变得很乱,更新之后界面变得很乱，本来是查单词莫名其妙出来一些没必要的东西。并且本机的收藏都没有了,如果要起名字就起长一点反正也没人知道我是谁,6.0.0,1579679580000,0,0
11078630079,1,吐槽,能不能别在更新了，越更新越不好用，我也是服了。一直吐槽的我都累了，这次又取消了本来可以查看已收场单词本来收藏在哪个文件组里面的，好家伙，这次直接看不到了，无语了，本来想通过设置两个文件组，把之前收藏的单词二次复习后移到另外一个文件组里去的，现在直接看不到了。真搞人心态，服了，能不能恢复回去？拜托求求你了，别在更新了,……我、,8.1.0,1711247471000,0,0
5433434206,1,千万别更新！！！,新版本直接把之前的历史记录给清除了，界面也无比繁琐，直接打开界面居然不是查词，而是意义不明的发现。真的希望可以返回旧版本,豚らめん,6.0.0,1579668493000,0,0
8288893924,1,糟糕的使用感,更新过后广告变多了，查词功能没有以前专一简洁顺手了，而且本地收藏的数据全清空无法同步，大改特改的更新真的是手感退步，还让人后悔买了会员。,橘绿,6.15.0,1643297788000,0,0
9143930723,1,不开会员就完全不许使用了是吗？,你们为什么敢让所有用户都必须要开会员才能够体验你身为一个辞書软件最基本的查词功能？不开会员一个词都查不了？你们怎么敢的呀！,Amnnesiaaa,6.23.0,1664723379000,0,0
2606723079,1,能不能不要推送更新？,为何每次切换到软件界面都会推送更新？你们每天更新是不容易，但我们更不更新是我们说了算，你天天逼着我们更新又有什么意义？光昨天一天就更新了两次，简直太影响使用了，希望尽快取消！！！,让不让人发表了？！…,3.0.0,1527495499000,0,0
9622042535,1,会员服务存在Bug  没有客服电话,越来越多的内容需要会员才能使用了不说，结果买了会员服务，权益还是无法使用，找不到软件客服电话，联系苹果退款处理结果被驳回，四个多月了才找到软件客服，结果中间四个月无法使用的会员权益就直接自己承担损失，任何一方都不承担责任。太失望了，再不推荐此软件！,-潇潇,6.29.1,1676518444000,0,0
10440613876,1,更新之后背词改的乱七八糟,本来之前没更新的时候选项的释义就只能看见那么几个看不全 更新之后只能看到一种释义了 不知道开发人是怎么想的 背词功能背语法的时候只能看见第一行,shjkals,7.3.0,1696494146000,0,0
8501181698,1,改版之后很不好用,以前的“发现”板块全被取消了，变成了一个只能查词的字典，看不出来你们家和别的字典比还有什么突出优点。Pro会员不是每个人都需要的，而我基础版会员购买的服务现在被削减成这样，必须给差评！！！,我的昵称你敢用打死你,6.17.1,1648382767000,0,0
5450930001,1,感到很失望 希望后续有解决方案,今天按了更新后 之前收藏的，我一个一个自己查的单词全部丢失 数据移植后也没有作用。感到很失望……后续如果没有解决方案只能弃用了，在此提醒大家更新前一定要注意先看看评论....唉....,kirishima hana,6.0.1,1580044507000,0,0
9735367675,1,一个词典软件如果连这一项都要会员那我无话可说,好几年前就在用了 一直没更新 今天更新完发现查单词最基础的功能都要会员 告辞,98747237,6.30.0,1679370027000,0,0
9552613069,1,连查词语都变得如此困难！垃圾！！！,改版改的什么东西？策划是不是不太正常？改版之前明明就很好，本以为改版之后查词语会更容易，没想到越改越差！想钱想疯了吧你？这种实用性软件也不断地弹出一些广告和文章，使用体验真的极差！真不知道4.8的评分哪里来的！,想不出名字的粲哥,6.28.2,1674824830000,0,0
5481127346,1,更新后是什么东西啊,无语了 用它为他付费为他五星好评就是因为界面简洁大方功能实用 现在变成啥了啊 太失望了,mafu家的小女友,v6.0.3,1580699307000,0,0
5438398387,1,倒退式更新,账号不自动转移登入新版本也就算了，点忘记密码这可好，我email一个小时一封邮件没有收到。呵，想必这功能就没有吧。我都不想亲自看你网站这段代码是否是有效的还是只是个空按钮🔘。,Kevin.H.T,6.0.0,1579779651000,0,0
7088954953,1,还没修复的bug,"复习中的已掌握单词无法同步；
已经完成的单词任务有时候在开始新任务的时候会显示未完成，继续进行会显示最后一个单词的问题；
剩余词汇不会实时更新，必须要完成一个任务后才更新。
没修复前继续一星。",亨斯华,6.7.1,1615427265000,1,1
7052978536,1,差评,不知道为什么原来的账号登录不了了，导致我买的会员也打水漂了希望能解决一下,wdmymhk,6.7.0,1614608544000,1,1
